name,addressLine1,addressLine2,city,constructionType,contractType,country,currentPhase,deliveryMethod,jobNumber,postalCode,startDate,stateOrProvince,timezone,classification,type,template
MySampleProject1,The Fifth Avenue,U301,NewYork,Renovation,Design-Bid,US,,Design-Bid,0219-01,10011,2025-05-02,NY,America/New_York,production,Commercial,
MySampleProject2,The Fifth Avenue,U301,NewYork,Renovation,Design-Bid,US,,Design-Bid,0219-01,10011,2025-05-02,NY,America/New_York,production,Commercial,
MySampleProject3,The Fifth Avenue,U301,NewYork,Renovation,Design-Bid,US,,Design-Bid,0219-01,10011,2025-05-02,NY,America/New_York,production,Commercial,
MySampleProject4,The Fifth Avenue,U301,NewYork,Renovation,Design-Bid,US,,Design-Bid,0219-01,10011,2025-05-02,NY,America/New_York,production,Commercial,
MySampleProject5,The Fifth Avenue,U301,NewYork,Renovation,Design-Bid,US,,Design-Bid,0219-01,10011,2025-05-02,NY,America/New_York,production,Commercial,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
